status,title,artists,album,audio_path,audio_url,file_path
"Not uploaded","Anaavashyak","Samir Shrestha, Beyond the Clouds","Anaavashyak","","",""
"Not uploaded","Andhakar Ko Ujyalo","Samir Shrestha","Andhakar Ko Ujyalo","","",""
"Not uploaded","Aneurysm","Nirvana","Incesticide","","",""
"Not uploaded","Aneurysm","Nirvana","Nevermind (Super Deluxe Edition)","","",""
"Not uploaded","Aneurysm","Nirvana","Nevermind (Deluxe Edition)","","",""
"Not uploaded","Aneurysm","Nirvana","With The Lights Out - Box Set","","",""
"Not uploaded","Aneurysm - 1992/Live at Reading","Nirvana","Live at Reading","","",""
"Not uploaded","Aneurysm - Live At The Paramount/1991","Nirvana","Live At The Paramount","","",""
"Not uploaded","Aneurysm - Live In Amsterdam, Netherlands/1991","Nirvana","Nevermind (30th Anniversary Super Deluxe)","","",""
"Not uploaded","Aneurysm - Live In Del Mar, California/1991","Nirvana","Nevermind (30th Anniversary Super Deluxe)","","",""
"Not uploaded","Aneurysm - Live In Del Mar, California/1991","Nirvana","From The Muddy Banks Of The Wishkah (Live)","","",""
"Not uploaded","Aneurysm - Live In Melbourne, Australia For Triple J/1992","Nirvana","Nevermind (30th Anniversary Super Deluxe)","","",""
"Not uploaded","Animal Bar","Red Hot Chili Peppers","Stadium Arcadium","","",""
"Not uploaded","Annie Wants a Baby","Red Hot Chili Peppers","I'm with You","","",""
"Not uploaded","Anorexorcist - Live","Nirvana","With The Lights Out - Box Set","","",""
"Not uploaded","Anountho Mutu","Sajjan Raj Vaidya","Mooskaan","","",""
"Not uploaded","Antim Bidaai","Oasis Thapa","Antim Bidaai","","",""
"Not uploaded","Antisocial (with Travis Scott)","Ed Sheeran, Travis Scott","No.6 Collaborations Project","","",""
"Not uploaded","Anumati","Bartika Eam Rai","Taral","","",""
"Not uploaded","Anything Goes","Guns N' Roses","Appetite For Destruction (Super Deluxe Edition)","","",""
"Not uploaded","Anything Goes","Guns N' Roses","Appetite For Destruction","","",""
"Not uploaded","Anything Goes - 1986 Sound City Session","Guns N' Roses","Appetite For Destruction (Super Deluxe Edition)","","",""
"Not uploaded","Apache Rose Peacock","Red Hot Chili Peppers","Blood Sugar Sex Magik","","",""
"Not uploaded","Apache Rose Peacock","Red Hot Chili Peppers","The Studio Album Collection 1991 - 2011","","",""
"Not uploaded","Aparibhasit","Swar, Swapnil Sharma, Rohit Shakya","Aparibhasit","","",""
"Not uploaded","Aparibhasit - Piano Version","Swar, Swapnil Sharma, Rohit Shakya","Aparibhasit (Piano Version)","","",""
"Not uploaded","Aparichit Bhawana","Oasis Thapa","Aparichit Bhawana","","",""
"Not uploaded","Apawad","DJ Bishow, Aabhiskar Kc","PROJECT COLLABORATION (DELUXE)","","",""
"Not uploaded","Aquatic Mouth Dance","Red Hot Chili Peppers","Unlimited Love","","",""
"Not uploaded","Around the World","Red Hot Chili Peppers","Californication (Deluxe Edition)","","",""
"Not uploaded","Around the World","Red Hot Chili Peppers","Californication","","",""
"Not uploaded","Around the World","Red Hot Chili Peppers","The Studio Album Collection 1991 - 2011","","",""
"Not uploaded","Arthahin Duniya","Chirag Khadka","Arthahin Duniya","","",""
"Not uploaded","Asha Nirasha","Albatross","Raat Ko Rani","","",""
"Not uploaded","Asha Nirasha","Albatross","Asha Nirasha","","",""
"Not uploaded","Asha Nirasha - Acoustic","Albatross","Barahsinghe Acoustic Sessions","","",""
"Not uploaded","Ashawo Mara - Edit","Rhythim, Dj khalipha","Ashawo Mara (Edit)","","",""
"Not uploaded","Aso Mi Cruise Beat","Dj khalipha","Aso Mi Cruise Beat","","",""
"Not uploaded","Atlas","Guns N' Roses","Atlas","","",""
"Not uploaded","Atteri","Sushant KC","Atteri","","",""
"Not uploaded","Attibidi","Jamesy","Attibidi","","",""
"Not uploaded","Attitude","Guns N' Roses","The Spaghetti Incident?","","",""
"Not uploaded","Attitude - Live In Paris, Hippodrome De Vincennes - June 6, 1992","Guns N' Roses","Use Your Illusion I (Deluxe Edition)","","",""
"Not uploaded","Audio Commentary for Stadium Arcadium - Short Version","Red Hot Chili Peppers","Stadium Arcadium","","",""
"Not uploaded","Auna Najeeka","Samir Shrestha","Auna Najeeka","","",""
"Not uploaded","Aunla Haru","Swar, Swapnil Sharma, Rohit Shakya","Aunla Haru","","",""
"Not uploaded","Aunla Haru - Reimagined","Swar, Arbitrary Records","Aunla Haru (Reimagined)","","",""
"Not uploaded","Autumn Leaves - Deluxe Edition","Ed Sheeran","+","","",""
"Not uploaded","Awaz","Albatross","Jo Jas Sanga Sambandhit Chha","","",""
"Not uploaded","Awaz - Acoustic","Albatross","Barahsinghe Acoustic Sessions","","",""
"Not uploaded","Azizam","Ed Sheeran","Play (Extended Edition)","","",""
"Not uploaded","Azizam","Ed Sheeran","Play","","",""
"Not uploaded","Azizam","Ed Sheeran","Azizam","","",""
"Not uploaded","Azizam","Ed Sheeran","Azizam (feat. Googoosh) [Persian Version]","","",""
"Not uploaded","Azizam","Ed Sheeran","Play (Deluxe)","","",""
"Not uploaded","Azizam (D.O.D Remix)","Ed Sheeran, D.O.D","Azizam (D.O.D Remix)","","",""
"Not uploaded","Azizam (feat. Googoosh) [Persian Version]","Ed Sheeran, Googoosh","Azizam (feat. Googoosh) [Persian Version]","","",""
"Not uploaded","Azizam - Acoustic","Ed Sheeran","Azizam (Acoustic)","","",""
"Not uploaded","B.L.Y.H.L","Sajjan Raj Vaidya","B.L.Y.H.L","","",""
"Not uploaded","BACK TO ME","¥$, Kanye West, Ty Dolla $ign","VULTURES 1","","",""
"Not uploaded","BAKWAS","Jamesy","SELFMADE","","",""
"Not uploaded","BALLIN","Jamesy","SELFMADE","","",""
"Not uploaded","BALLIN","Jamesy","BALLIN","","",""
"Not uploaded","BANDO BACHHA","Jamesy","BANDO BACHHA","","",""
"Not uploaded","BEAUTIFUL (feat. Future & SZA)","DJ Khaled, Future, SZA","GOD DID","","",""
"Not uploaded","BEAUTIFUL (feat. Future & SZA)","DJ Khaled, Future, SZA","BEAUTIFUL (feat. Future & SZA)","","",""
"Not uploaded","BEG FORGIVENESS","¥$, Kanye West, Ty Dolla $ign","VULTURES 1","","",""
"Not uploaded","BHADKIYEKO AATMA","Jamesy, Yung G, Yogeshbeats","BHADKIYEKO AATMA","","",""
"Not uploaded","BIDESHI","Jamesy, MC UDAN","RISKTAPE","","",""
"Not uploaded","BIG TIME (feat. Future & Lil Baby)","DJ Khaled, Future, Lil Baby","GOD DID","","",""
"Not uploaded","BIG TIME (feat. Future & Lil Baby)","DJ Khaled, Future, Lil Baby","BIG TIME (feat. Future & Lil Baby)","","",""
"Not uploaded","BILLS PAID (feat. Latto & City Girls)","DJ Khaled, Latto, City Girls","GOD DID","","",""
"Not uploaded","BILLS PAID (feat. Latto & City Girls)","DJ Khaled, Latto, City Girls","BILLS PAID (feat. Latto & City Girls)","","",""
"Not uploaded","BIRAM","Purna Rai","BIRAM","","",""
"Not uploaded","BIRDS OF A FEATHER","Billie Eilish","HIT ME HARD AND SOFT","","",""
"Not uploaded","BISTARAI","AXIX","PAAILA","","",""
"Not uploaded","BISTARI","Jamesy","BISTARI","","",""
"Not uploaded","BITTERSUITE","Billie Eilish","HIT ME HARD AND SOFT","","",""
"Not uploaded","BLOW (with Chris Stapleton & Bruno Mars)","Ed Sheeran, Chris Stapleton, Bruno Mars","No.6 Collaborations Project","","",""
"Not uploaded","BLOW - Live","Ed Sheeran","+-=÷× (Tour Collection: Live)","","",""
"Not uploaded","BLUE","Billie Eilish","HIT ME HARD AND SOFT","","",""
"Not uploaded","BOMB","¥$, Kanye West, Ty Dolla $ign","VULTURES 2","","",""
"Not uploaded","BRIAN STEEL","Drake","$ome $exy $ongs 4 U","","",""
"Not uploaded","BROKEN ROAD","DONDA, Kanye West, Ye","DONDA 2","","",""
"Not uploaded","BURN","¥$, Kanye West, Ty Dolla $ign","VULTURES 1","","",""
"Not uploaded","BURN EVERYTHING","DONDA, Kanye West, Ye","DONDA 2","","",""
"Not uploaded","Baadal","Purna Rai","Baadal","","",""
"Not uploaded","Baaf","Sujan Chapagain, Bidhya Tiwari","Baaf","","",""
"Not uploaded","Baaf","Sujan Chapagain, Bidhya Tiwari","Baaf","","",""
"Not uploaded","Baaf","ArtMandu, Sujan Chapagain, Bidhya Tiwari","Baaf","","",""
"Not uploaded","Baaki","Bartika Eam Rai","Si Ma Na","","",""
"Not uploaded","Baazigar","YABI The G.O.A.T","Baazigar","","",""
"Not uploaded","Baba Pashupati","Sabin Rai","Chiso Ashtray (Original Motion Picture Soundtrack)","","",""
"Not uploaded","Baby Appeal - 2002 Digital Remaster","Red Hot Chili Peppers","Red Hot Chili Peppers","","",""
"Not uploaded","Bachau","Albatross","Raat Ko Rani","","",""
"Not uploaded","Bachau","Albatross","Asha Nirasha (Original)","","",""
"Not uploaded","Bachau - Acoustic","Albatross","Barahsinghe Acoustic Sessions","","",""
"Not uploaded","Back Off Bitch","Guns N' Roses","Use Your Illusion I","","",""
"Not uploaded","Back Off Bitch - 1986 Sound City Session","Guns N' Roses","Appetite For Destruction (Super Deluxe Edition)","","",""
"Not uploaded","Back Off Bitch - 2022 Remaster","Guns N' Roses","Use Your Illusion I (Deluxe Edition)","","",""
