Mood,Album Count,Song Count,Albums,Songs
confident,0,0,,
creative,0,0,,
dance,0,0,,
dark,30,0,"Bleach (Deluxe Edition) (Nirvana) | Breed (Live In Amsterdam, Netherlands/1991) (Nirvana) | From The Muddy Banks Of The Wishkah (Live) (Nirvana) | Hurry Up Tomorrow (The Weeknd) | In Bloom / On A Plain / Lithium / Breed (Nirvana) | In Utero (Nirvana) | In Utero (30th Anniversary Super Deluxe) (Nirvana) | In Utero (Deluxe Edition) (Nirvana) | In Utero (Super Deluxe Edition) (Nirvana) | In Utero 30th Live (Nirvana) | Incesticide (Nirvana) | Lithium / Breed (Live) (Nirvana) | Live And Loud (Nirvana) | Live at Reading (Nirvana) | Live At The Paramount (Nirvana) | MTV Unplugged In New York (Nirvana) | MTV Unplugged In New York (25th Anniversary) (Nirvana) | My Beautiful Dark Twisted Fantasy (Kanye West) | Nevermind (30th Anniversary Super Deluxe) (Nirvana) | Nevermind (Deluxe Edition) (Nirvana) | Nevermind (Remastered) (Nirvana) | Nevermind (Super Deluxe Edition) (Nirvana) | Nirvana (Nirvana) | On A Plain / Lithium / Breed (Live) (Nirvana) | RISKTAPE (Jamesy) | Sliver - The Best Of The Box (Nirvana) | Smells Like Teen Spirit / In Bloom / On A Plain / Lithium / Breed (Nirvana) | Starboy (Deluxe) (The Weeknd) | WHEN WE ALL FALL ASLEEP, WHERE DO WE GO? (Billie Eilish) | With The Lights Out - Box Set (Nirvana)",
deep,0,0,,
dramatic,17,0,ABSUЯD (Guns N' Roses) | Appetite For Destruction (Super Deluxe Edition) (Guns N' Roses) | Chinese Democracy (Guns N' Roses) | G N' R Lies (Guns N' Roses) | Hard Skool (Guns N' Roses) | Live Era '87-'93 (Guns N' Roses) | Live Era '87-'93 (Live - Deluxe Edition) (Guns N' Roses) | My Beautiful Dark Twisted Fantasy (Kanye West) | Shadow Of Your Love (Guns N' Roses) | The General (Guns N' Roses) | The Spaghetti Incident? (Guns N' Roses) | Use Your Illusion (Super Deluxe) (Guns N' Roses) | Use Your Illusion I (Guns N' Roses) | Use Your Illusion I (Deluxe Edition) (Guns N' Roses) | Use Your Illusion II (Guns N' Roses) | Use Your Illusion II (Deluxe Edition) (Guns N' Roses) | Welcome To The Jungle (1986 Sound City Session) (Guns N' Roses),
Dreamy,0,0,,
driving,40,0,"Action Mara Beat (Dj khalipha) | Adrenaline Street House Beat (Dj khalipha) | Ahh 4.0 Beat (Dj khalipha) | Aso Mi Cruise Beat (Dj khalipha) | Beat do Empurra, Empurra (Dj Thales Jql) | Brotherly (Street House Beat) (Dj khalipha) | Dark Street House Beat (Dj khalipha) | Dash Mara House Beat (Dj khalipha) | Echoes of Dad Beat (Dj khalipha) | Electrify Street House Beat (Dj khalipha) | Emotional mara beat Pt 2 (Dj khalipha) | Emotional Mara Street Beat (Dj khalipha) | Heritage Mara House Beat (Dj khalipha) | Hope (Mara House Beat) (Dj khalipha) | I Run (House Mix) (DJ KHADY) | Illuminati Mara Dance Beat (Dj khalipha) | Iphone Mara Beat (Street Dance) (Dj khalipha) | Iwe Kiko Mara Street Beat (Dj khalipha) | Mara dance beat 2.0 (Remix) (Dj khalipha) | Mara Evolution Beat (Dj khalipha) | Mara Non Stop Beat (Dj khalipha) | Mara Street House Mixtape (Dj khalipha) | Marapiano Street Beat (Dj khalipha) | Melodic Mara (EDM REMIX) (Dj khalipha) | Melodic Street House (Dj khalipha) | Milo Mara Dance Beat (Dj khalipha, Lomilo) | Ogba beat 3.0 (Dj khalipha) | OGBA BEAT 4.0 (Dj khalipha) | Ravers Street House Beat (Dj khalipha) | Relieved (Mara Street House Beat) (Dj khalipha) | Riddim of Survival (Street House Mix) (Dj khalipha) | Solid (Mara House Beat) [with Beatnasttii & Jegzy] (Dj khalipha) | Soulful Street House Beat (Dj khalipha) | Spiritual Mara Dance Beat 2.0 (Dj khalipha) | Steppers Mara Beat (Dj khalipha) | The Horbbit Mara Beat (Dj khalipha) | The Night Mara Beat (Dj khalipha) | Trenches Street House Beat (Dj khalipha) | Twin Mara Street Beat (Dj khalipha) | Violin Mara Dance Beat (Dj khalipha)",
early,1,0,Sajjan Raj Vaidya 2016 Releases (Sajjan Raj Vaidya),
eerie,1,0,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO? (Billie Eilish)",
